"","cutoff Avg","cutoff Sd","quality Avg","quality Sd","distance Avg","distance Sd"
"rank1",294.237177144609,54.1255553385487,316.689777918892,48.5385969713144,28.2499379768796,44.2339375783128
"rank2",281.356588323504,49.5789233604561,304.583198780486,43.8240399015866,28.1771866993167,42.5761070626817
"rank3",272.685994966835,46.9633732360395,296.789694372145,41.1662466828912,27.317292472299,41.1033939687319
"rank4",263.076618896045,45.1398988730925,288.576692408066,39.2661980177839,24.361603869351,39.0203282931475
"rank5",250.084892881996,32.0695482451468,277.504073928669,26.7312312358417,28.6727430384865,28.306884799068
"rank6",246.180309407596,31.4455316443139,274.078737617146,26.2309651531557,29.4825156907427,28.4079037460934
"Q1rank1",283.45338311007,44.5916551777754,306.752863649641,38.9424630008857,28.2791280197971,44.8994607385417
"Q1rank2",270.000928210264,41.4075951790265,294.333286609456,35.903423400604,28.6994653904469,43.712740923056
"Q1rank3",261.256786500367,40.4391674896249,286.628281554477,34.9359940913734,27.6753478549256,42.1575048699905
"Q1rank4",251.401957177544,39.7503440112101,278.292657192031,34.2023562977068,25.3484794670495,40.9543705007611
"Q1rank5",246.885505915953,31.2273088022985,274.398214938018,25.7461815656023,29.3258954209402,28.7811034190171
"Q1rank6",242.473129260384,30.7316844135338,270.515740246399,25.5247280844535,29.8205011824918,28.6422515631597
"Q2rank1",301.017286106261,45.0319807924198,322.778395885857,39.2525354103222,31.6994902558851,48.2043336658618
"Q2rank2",285.153181284505,42.370285419079,308.062133657815,36.6352486723146,31.227607607095,46.5787882964142
"Q2rank3",273.905058385217,41.3520925925106,298.075144069779,35.4941742676091,29.8181957741979,45.0157478757473
"Q2rank4",262.043354121271,40.8598185222879,288.0556582226,34.66925557641,26.1289370824544,42.5387689334306
"Q2rank5",253.424078805278,31.4482442977079,280.873191759576,25.368361263802,29.9463710852884,28.5164169571612
"Q2rank6",248.722911889513,31.1269400818419,276.761906892651,25.2174122635541,30.7350900015646,28.569829775933
"Q3rank1",323.013015292969,43.5345959445365,342.94730334866,38.3234814638337,34.8694420517734,48.9476987972364
"Q3rank2",304.14270332532,42.3607258421201,325.315852426854,36.6306614705818,33.4668971354229,46.8360001672272
"Q3rank3",290.50172914996,41.6539006222955,313.034192391023,35.6939467089588,31.3524075076746,44.9807402746176
"Q3rank4",276.204508897155,41.291304140216,300.706313493418,34.989589976231,26.9781070505195,42.5739808939212
"Q3rank5",260.054664956717,31.1863282059676,287.421116881658,24.4764836131732,30.7806277618886,28.1144020231202
"Q3rank6",254.617433867387,31.2137804468221,282.594431717669,24.7594743726204,31.3043932096926,28.2015085137385
"Q4rank1",362.161679219532,38.0910728433309,380.472307148347,34.8571596562162,41.9842689851021,47.6902052691935
"Q4rank2",340.525313574752,38.2495623911817,358.92659962688,33.9482341065103,38.4991678175414,45.4471797741033
"Q4rank3",324.12103410731,39.7816661877749,343.62616017379,34.5146688667174,33.9706877470713,42.7375139609226
"Q4rank4",306.910042159801,41.699035042964,328.353972722441,35.6490374946092,27.5118920015355,40.3929478661852
"Q4rank5",266.40383882385,30.2866863318733,294.671770079231,22.7153730444902,31.0581532430296,28.0470858912616
"Q4rank6",260.541123411234,30.5375416375112,289.377206681334,23.1050123471974,31.594820440306,28.0279133860752
