"","schoolcode","choicepgm","district","latitude","longtitude","cutoff","quality","size"
"179893",30403,"General Arts","Abura/Asebu/Kwamankese (Abura Dunkwa)",5.13000059127808,-1.19708836078644,208,245.210526315789,38
"179914",30403,"Home Economics","Abura/Asebu/Kwamankese (Abura Dunkwa)",5.13000059127808,-1.19708836078644,215,248.375,8
"179941",30403,"Agriculture","Abura/Asebu/Kwamankese (Abura Dunkwa)",5.13000059127808,-1.19708836078644,219,241.933333333333,15
"179969",21001,"General Arts","Kwahu South (Mpraeso)",6.61922645568848,-0.635528683662415,276,302.127777777778,180
"179977",21001,"Business","Kwahu South (Mpraeso)",6.61922645568848,-0.635528683662415,270,299.5875,80
"179993",21001,"Home Economics","Kwahu South (Mpraeso)",6.61922645568848,-0.635528683662415,265,293.354838709677,62
"180001",21001,"Visual Arts","Kwahu South (Mpraeso)",6.61922645568848,-0.635528683662415,252,283.261538461538,65
"180013",21001,"General Science","Kwahu South (Mpraeso)",6.61922645568848,-0.635528683662415,252,293.370967741935,62
"180417",9021002,"Motor Vehicle Mech.","Kwahu South (Mpraeso)",6.61922645568848,-0.635528683662415,204,243.765957446808,47
"180425",9021002,"Accounting","Kwahu South (Mpraeso)",6.61922645568848,-0.635528683662415,226,264,8
"180535",70503,"Home Economics","Keta",5.90746402740479,0.853055775165558,211,243.285714285714,35
"180536",70503,"Business","Keta",5.90746402740479,0.853055775165558,205,248.558441558442,77
"180538",70503,"General Arts","Keta",5.90746402740479,0.853055775165558,213,244.3,120
"180550",70503,"Visual Arts","Keta",5.90746402740479,0.853055775165558,209,241.434782608696,23
"180807",21303,"General Arts","East Akim (Kibi)",6.17855787277222,-0.454344213008881,332,350.302469135802,162
"180810",21303,"Visual Arts","East Akim (Kibi)",6.17855787277222,-0.454344213008881,321,338.078947368421,38
"180812",21303,"Business","East Akim (Kibi)",6.17855787277222,-0.454344213008881,316,337.56862745098,153
"180815",21303,"Agriculture","East Akim (Kibi)",6.17855787277222,-0.454344213008881,312,331.555555555556,36
"180819",21303,"General Science","East Akim (Kibi)",6.17855787277222,-0.454344213008881,343,360.162162162162,37
"181001",21303,"Home Economics","East Akim (Kibi)",6.17855787277222,-0.454344213008881,313,335.472222222222,36
"181294",30402,"Business","Abura/Asebu/Kwamankese (Abura Dunkwa)",5.13000059127808,-1.19708836078644,207,255.473333333333,150
"181296",30402,"General Arts","Abura/Asebu/Kwamankese (Abura Dunkwa)",5.13000059127808,-1.19708836078644,207,247.42,250
"181297",30402,"Home Economics","Abura/Asebu/Kwamankese (Abura Dunkwa)",5.13000059127808,-1.19708836078644,192,246.8359375,128
"182163",20301,"General Arts","Akwapim South (Nsawam)",5.82600259780884,-0.268249362707138,386,401.657777777778,225
"182164",20301,"Business","Akwapim South (Nsawam)",5.82600259780884,-0.268249362707138,396,411.188888888889,90
"182180",20301,"General Science","Akwapim South (Nsawam)",5.82600259780884,-0.268249362707138,403,419.477777777778,90
"182184",20301,"Visual Arts","Akwapim South (Nsawam)",5.82600259780884,-0.268249362707138,385,397.35,20
"182211",20301,"Home Economics","Akwapim South (Nsawam)",5.82600259780884,-0.268249362707138,394,408.32,25
"182641",70114,"Business","Ho Municipal",6.71760702133179,0.526142239570618,243,252.571428571429,7
"182643",70114,"General Arts","Ho Municipal",6.71760702133179,0.526142239570618,223,241.875,8
"182650",70114,"Technical","Ho Municipal",6.71760702133179,0.526142239570618,217,271,5
"182665",70114,"Agriculture","Ho Municipal",6.71760702133179,0.526142239570618,269,269,1
"182680",30109,"Visual Arts","Cape Coast Municipal",5.15365600585938,-1.3065938949585,261,285.72972972973,37
"182681",30109,"Business","Cape Coast Municipal",5.15365600585938,-1.3065938949585,262,293.628571428571,70
"182686",30109,"General Arts","Cape Coast Municipal",5.15365600585938,-1.3065938949585,280,305.277777777778,108
"182796",30109,"Home Economics","Cape Coast Municipal",5.15365600585938,-1.3065938949585,283,299.518518518519,27
"182920",10121,"Visual Arts","Accra Metropolitan",5.6073956489563,-0.197115257382393,360,374.8,40
"182922",10121,"General Science","Accra Metropolitan",5.6073956489563,-0.197115257382393,358,384.2,160
"182923",10121,"Business","Accra Metropolitan",5.6073956489563,-0.197115257382393,363,384.116666666667,180
"182927",10121,"General Arts","Accra Metropolitan",5.6073956489563,-0.197115257382393,369,386.3875,80
"182936",10121,"Agriculture","Accra Metropolitan",5.6073956489563,-0.197115257382393,335,361.875,40
"183424",10112,"Business","Accra Metropolitan",5.6073956489563,-0.197115257382393,359,380.14606741573,89
"183426",10112,"General Arts","Accra Metropolitan",5.6073956489563,-0.197115257382393,374,385.850574712644,87
"183427",10112,"General Science","Accra Metropolitan",5.6073956489563,-0.197115257382393,362,377.466666666667,45
"183437",10112,"Visual Arts","Accra Metropolitan",5.6073956489563,-0.197115257382393,316,347.285714285714,49
"183461",10112,"Home Economics","Accra Metropolitan",5.6073956489563,-0.197115257382393,363,375.966666666667,30
"183736",10106,"General Arts","Accra Metropolitan",5.6073956489563,-0.197115257382393,336,350.353535353535,99
"183743",10106,"Technical","Accra Metropolitan",5.6073956489563,-0.197115257382393,301,324.285714285714,49
"183746",10106,"Business","Accra Metropolitan",5.6073956489563,-0.197115257382393,328,345.19,100
"183755",10106,"General Science","Accra Metropolitan",5.6073956489563,-0.197115257382393,336,354.68,50
"183761",10106,"Visual Arts","Accra Metropolitan",5.6073956489563,-0.197115257382393,314,331.106382978723,47
"183772",10106,"Home Economics","Accra Metropolitan",5.6073956489563,-0.197115257382393,293,319,50
"184170",9010101,"Plumbing & Gas Fitting","Accra Metropolitan",5.6073956489563,-0.197115257382393,223,247.846153846154,13
"184173",9010101,"Small Eng. Repairs","Accra Metropolitan",5.6073956489563,-0.197115257382393,253,280.2,20
"184184",9010101,"Auto Body Works","Accra Metropolitan",5.6073956489563,-0.197115257382393,298,324.25,20
"184188",9010101,"Welding & Fabrication","Accra Metropolitan",5.6073956489563,-0.197115257382393,273,303.15,20
"184217",9010101,"Mech. Eng. Craft Pract.","Accra Metropolitan",5.6073956489563,-0.197115257382393,262,291.2,20
"184381",61202,"Home Economics","Asutifi (Kenyasi)",7.02809381484985,-2.51506805419922,227,255.36,50
"184384",61202,"General Arts","Asutifi (Kenyasi)",7.02809381484985,-2.51506805419922,256,279.94,200
"184396",61202,"Business","Asutifi (Kenyasi)",7.02809381484985,-2.51506805419922,251,281.6,100
"184408",61202,"Agriculture","Asutifi (Kenyasi)",7.02809381484985,-2.51506805419922,243,267.1,50
"184478",61202,"General Science","Asutifi (Kenyasi)",7.02809381484985,-2.51506805419922,224,274.62,50
"184832",20604,"Agriculture","Birim South (Akim Oda)",5.86416721343994,-0.969164490699768,208,243.933333333333,60
"184833",20604,"General Arts","Birim South (Akim Oda)",5.86416721343994,-0.969164490699768,228,261.083333333333,120
"184875",20604,"Home Economics","Birim South (Akim Oda)",5.86416721343994,-0.969164490699768,210,244.577777777778,45
"185090",10110,"Home Economics","Accra Metropolitan",5.6073956489563,-0.197115257382393,366,385.825,40
"185091",10110,"General Science","Accra Metropolitan",5.6073956489563,-0.197115257382393,401,419.988888888889,180
"185093",10110,"Visual Arts","Accra Metropolitan",5.6073956489563,-0.197115257382393,389,407.64,50
"185094",10110,"General Arts","Accra Metropolitan",5.6073956489563,-0.197115257382393,389,409.146666666667,225
"185116",10110,"Agriculture","Accra Metropolitan",5.6073956489563,-0.197115257382393,343,371.275,40
"185665",51606,"General Arts","Ejisu/Juaben (Ejisu)",6.70792675018311,-1.38873517513275,207,252.041666666667,72
"185683",51606,"Home Economics","Ejisu/Juaben (Ejisu)",6.70792675018311,-1.38873517513275,213,245.36170212766,47
"185736",51606,"Agriculture","Ejisu/Juaben (Ejisu)",6.70792675018311,-1.38873517513275,222,248.046511627907,43
"185890",10301,"Visual Arts","Dangme East (Ada)",5.91473388671875,0.106862179934978,271,295.90243902439,41
"185893",10301,"Home Economics","Dangme East (Ada)",5.91473388671875,0.106862179934978,277,299.809523809524,42
"185895",10301,"General Arts","Dangme East (Ada)",5.91473388671875,0.106862179934978,288,310.222222222222,126
"185898",10301,"Agriculture","Dangme East (Ada)",5.91473388671875,0.106862179934978,278,300.071428571429,42
"185907",10301,"General Science","Dangme East (Ada)",5.91473388671875,0.106862179934978,292,317.785714285714,42
"186226",10302,"Business","Dangme East (Ada)",5.91473388671875,0.106862179934978,285,307.054545454545,55
"186228",10302,"Agriculture","Dangme East (Ada)",5.91473388671875,0.106862179934978,246,275.96,50
"186234",10302,"Technical","Dangme East (Ada)",5.91473388671875,0.106862179934978,275,291.84,50
"186239",10302,"Home Economics","Dangme East (Ada)",5.91473388671875,0.106862179934978,236,261.763636363636,55
"186254",10302,"General Arts","Dangme East (Ada)",5.91473388671875,0.106862179934978,260,286.46,100
"186551",9010301,"Block Laying & Concreting","Ga West (Amasaman)",5.6646876335144,-0.397510528564453,206,237.266666666667,15
"186557",9010301,"Fashion Design","Ga West (Amasaman)",5.6646876335144,-0.397510528564453,205,246.111111111111,18
"186582",9010301,"Electrical Installation Works","Ga West (Amasaman)",5.6646876335144,-0.397510528564453,229,256.05,40
"186597",9010301,"Accounting","Ga West (Amasaman)",5.6646876335144,-0.397510528564453,210,255.056603773585,53
"186658",9010301,"Secretarial","Ga West (Amasaman)",5.6646876335144,-0.397510528564453,232,234.5,2
"186671",9010301,"Carpentry & Joinery","Ga West (Amasaman)",5.6646876335144,-0.397510528564453,227,241.0625,16
"186899",70108,"Business","Ho Municipal",6.71760702133179,0.526142239570618,210,244.666666666667,6
"186900",70108,"Agriculture","Ho Municipal",6.71760702133179,0.526142239570618,237,263.545454545455,11
"186913",70108,"General Arts","Ho Municipal",6.71760702133179,0.526142239570618,205,240,8
"186924",31205,"Business","Assin North (Assin Fosu)",5.77799510955811,-1.37461698055267,214,255.933333333333,60
"186933",31205,"General Arts","Assin North (Assin Fosu)",5.77799510955811,-1.37461698055267,229,253.4,90
"187079",50703,"Visual Arts","Kwabre (Mamponteng)",6.80677843093872,-1.54142010211945,250,269.08,50
"187130",50703,"General Arts","Kwabre (Mamponteng)",6.80677843093872,-1.54142010211945,244,269.83,200
"187132",50703,"Home Economics","Kwabre (Mamponteng)",6.80677843093872,-1.54142010211945,257,275.82,50
"187147",50703,"Business","Kwabre (Mamponteng)",6.80677843093872,-1.54142010211945,212,257.147651006711,149
"187153",50703,"General Science","Kwabre (Mamponteng)",6.80677843093872,-1.54142010211945,214,264.22,50
"187678",20503,"Agriculture","West Akim (Asamankese)",5.8336124420166,-0.609122574329376,239,264.2875,80
"187679",20503,"General Arts","West Akim (Asamankese)",5.8336124420166,-0.609122574329376,264,285.08,100
"187680",20503,"Visual Arts","West Akim (Asamankese)",5.8336124420166,-0.609122574329376,254,278.4,30
"187708",20503,"Home Economics","West Akim (Asamankese)",5.8336124420166,-0.609122574329376,253,269.833333333333,30
"187921",70801,"General Arts","North Tongu (Adidome)",6.13318634033203,0.407175898551941,241,266.266666666667,135
"187932",70801,"Visual Arts","North Tongu (Adidome)",6.13318634033203,0.407175898551941,204,246.444444444444,27
"187933",70801,"Home Economics","North Tongu (Adidome)",6.13318634033203,0.407175898551941,207,240,42
"187963",70801,"General Science","North Tongu (Adidome)",6.13318634033203,0.407175898551941,245,276.377777777778,45
"188270",40110,"Business","Shama/Ahanta/East (Sekondi/Takoradi)",5.0811014175415,-1.62365472316742,227,248.28,50
"188292",40110,"General Arts","Shama/Ahanta/East (Sekondi/Takoradi)",5.0811014175415,-1.62365472316742,242,258.99,100
"188458",30102,"General Arts","Cape Coast Municipal",5.15365600585938,-1.3065938949585,361,386.316666666667,120
"188459",30102,"General Science","Cape Coast Municipal",5.15365600585938,-1.3065938949585,376,400.158333333333,120
"188460",30102,"Business","Cape Coast Municipal",5.15365600585938,-1.3065938949585,369,392.075,120
"188462",30102,"Visual Arts","Cape Coast Municipal",5.15365600585938,-1.3065938949585,362,380.625,40
"188864",20802,"Technical","Asuogyaman (Senchi Ferry)",6.1892294883728,0.0883282497525215,231,245.888888888889,9
"188866",20802,"General Arts","Asuogyaman (Senchi Ferry)",6.1892294883728,0.0883282497525215,222,256.545454545455,11
"188929",20302,"General Arts","Akwapim South (Nsawam)",5.82600259780884,-0.268249362707138,329,345.512605042017,119
"188963",20302,"Agriculture","Akwapim South (Nsawam)",5.82600259780884,-0.268249362707138,292,313.42,50
"188968",20302,"Visual Arts","Akwapim South (Nsawam)",5.82600259780884,-0.268249362707138,307,327.08,50
"189015",20302,"General Science","Akwapim South (Nsawam)",5.82600259780884,-0.268249362707138,313,335.775510204082,49
"189045",20302,"Business","Akwapim South (Nsawam)",5.82600259780884,-0.268249362707138,297,321.007692307692,130
"189073",20302,"Home Economics","Akwapim South (Nsawam)",5.82600259780884,-0.268249362707138,301,318.9,50
"189701",50605,"Business","Afigya Sekyere (Agona)",7.00199604034424,-1.54861426353455,289,311.88,150
"189705",50605,"General Arts","Afigya Sekyere (Agona)",7.00199604034424,-1.54861426353455,299,319.94347826087,230
"189721",50605,"General Science","Afigya Sekyere (Agona)",7.00199604034424,-1.54861426353455,301,319.18,50
"189849",50605,"Home Economics","Afigya Sekyere (Agona)",7.00199604034424,-1.54861426353455,289,303.34,50
"190198",20407,"Technical","Akwapim North (Akropong)",5.97642612457275,-0.166071146726608,234,266.1,90
"190214",20407,"Home Economics","Akwapim North (Akropong)",5.97642612457275,-0.166071146726608,203,248.882352941176,68
"190254",20407,"Agriculture","Akwapim North (Akropong)",5.97642612457275,-0.166071146726608,229,260.5,50
"190312",20407,"Visual Arts","Akwapim North (Akropong)",5.97642612457275,-0.166071146726608,212,254.066666666667,90
"190481",50704,"General Arts","Kwabre (Mamponteng)",6.80677843093872,-1.54142010211945,295,313.046666666667,150
"190498",50704,"Business","Kwabre (Mamponteng)",6.80677843093872,-1.54142010211945,276,297.313333333333,150
"190540",50704,"Agriculture","Kwabre (Mamponteng)",6.80677843093872,-1.54142010211945,287,309.22,50
"190601",50704,"Visual Arts","Kwabre (Mamponteng)",6.80677843093872,-1.54142010211945,292,306.2,50
"190758",50704,"Home Economics","Kwabre (Mamponteng)",6.80677843093872,-1.54142010211945,285,299.58,50
"190760",50704,"General Science","Kwabre (Mamponteng)",6.80677843093872,-1.54142010211945,288,313.74,50
"190981",50707,"Home Economics","Kwabre (Mamponteng)",6.80677843093872,-1.54142010211945,227,266.4,100
"191019",50707,"General Arts","Kwabre (Mamponteng)",6.80677843093872,-1.54142010211945,238,273.8,120
"191023",50707,"Business","Kwabre (Mamponteng)",6.80677843093872,-1.54142010211945,219,268.757142857143,70
"191438",50115,"Business","Kumasi Metro",6.68205976486206,-1.59718716144562,302,326.8625,160
"191448",50115,"General Arts","Kumasi Metro",6.68205976486206,-1.59718716144562,312,327.815,200
"191453",50115,"General Science","Kumasi Metro",6.68205976486206,-1.59718716144562,330,349.42,50
"191510",50115,"Visual Arts","Kumasi Metro",6.68205976486206,-1.59718716144562,307,322.74,50
"191515",50115,"Home Economics","Kumasi Metro",6.68205976486206,-1.59718716144562,298,313.68,50
"191948",71007,"Business","Hohoe",7.03059482574463,0.466238558292389,240,251,4
"191952",71007,"General Arts","Hohoe",7.03059482574463,0.466238558292389,213,250,5
"191962",51701,"General Arts","Bosomtwe/Atwima/Kwanwoma (Kuntanase)",6.55932283401489,-1.56275165081024,352,364.658227848101,79
"191963",51701,"General Science","Bosomtwe/Atwima/Kwanwoma (Kuntanase)",6.55932283401489,-1.56275165081024,278,320.333333333333,120
"191969",51701,"Visual Arts","Bosomtwe/Atwima/Kwanwoma (Kuntanase)",6.55932283401489,-1.56275165081024,320,335.025,40
"191991",51701,"Agriculture","Bosomtwe/Atwima/Kwanwoma (Kuntanase)",6.55932283401489,-1.56275165081024,289,317.45,40
"192005",51701,"Home Economics","Bosomtwe/Atwima/Kwanwoma (Kuntanase)",6.55932283401489,-1.56275165081024,349,363.8,40
"192049",51701,"Business","Bosomtwe/Atwima/Kwanwoma (Kuntanase)",6.55932283401489,-1.56275165081024,334,346.670886075949,79
"192387",71003,"General Arts","Hohoe",7.03059482574463,0.466238558292389,225,241.6,5
"192392",30401,"General Science","Abura/Asebu/Kwamankese (Abura Dunkwa)",5.13000059127808,-1.19708836078644,363,378.430379746835,79
"192395",30401,"Business","Abura/Asebu/Kwamankese (Abura Dunkwa)",5.13000059127808,-1.19708836078644,353,369.084967320261,153
"192404",30401,"Agriculture","Abura/Asebu/Kwamankese (Abura Dunkwa)",5.13000059127808,-1.19708836078644,335,350.75,40
"192405",30401,"General Arts","Abura/Asebu/Kwamankese (Abura Dunkwa)",5.13000059127808,-1.19708836078644,360,373.089655172414,145
"192427",30401,"Visual Arts","Abura/Asebu/Kwamankese (Abura Dunkwa)",5.13000059127808,-1.19708836078644,344,357.975,40
"192464",30401,"Home Economics","Abura/Asebu/Kwamankese (Abura Dunkwa)",5.13000059127808,-1.19708836078644,342,358.282051282051,39
"192943",51001,"General Arts","Asante Akim North (Konongo)",6.83400392532349,-1.01796305179596,269,291.996031746032,252
"192954",51001,"Business","Asante Akim North (Konongo)",6.83400392532349,-1.01796305179596,267,292.222222222222,108
"192975",51001,"General Science","Asante Akim North (Konongo)",6.83400392532349,-1.01796305179596,272,296.925,40
"193370",50606,"Technical","Afigya Sekyere (Agona)",7.00199604034424,-1.54861426353455,258,274.7,60
"193371",50606,"Agriculture","Afigya Sekyere (Agona)",7.00199604034424,-1.54861426353455,259,283.6,60
"193410",50606,"Visual Arts","Afigya Sekyere (Agona)",7.00199604034424,-1.54861426353455,254,277.533333333333,60
"193550",70113,"General Arts","Ho Municipal",6.71760702133179,0.526142239570618,211,252.952380952381,84
"193552",70113,"Business","Ho Municipal",6.71760702133179,0.526142239570618,209,254.46,50
"193553",70113,"Agriculture","Ho Municipal",6.71760702133179,0.526142239570618,221,260.666666666667,33
"193745",61302,"General Arts","Asunafo (Goaso)",6.80908823013306,-2.68374562263489,217,252.622222222222,180
"193749",61302,"Home Economics","Asunafo (Goaso)",6.80908823013306,-2.68374562263489,225,246.5,28
"193750",61302,"Technical","Asunafo (Goaso)",6.80908823013306,-2.68374562263489,216,248.925,40
"193878",61302,"General Science","Asunafo (Goaso)",6.80908823013306,-2.68374562263489,218,269.352941176471,17
"194060",40106,"Business","Shama/Ahanta/East (Sekondi/Takoradi)",5.0811014175415,-1.62365472316742,295,314.21,100
"194061",40106,"Home Economics","Shama/Ahanta/East (Sekondi/Takoradi)",5.0811014175415,-1.62365472316742,291,311.98,50
"194076",40106,"General Science","Shama/Ahanta/East (Sekondi/Takoradi)",5.0811014175415,-1.62365472316742,309,324.56,25
"194087",40106,"General Arts","Shama/Ahanta/East (Sekondi/Takoradi)",5.0811014175415,-1.62365472316742,298,314.474747474747,99
"194149",40106,"Visual Arts","Shama/Ahanta/East (Sekondi/Takoradi)",5.0811014175415,-1.62365472316742,267,289.28,50
"194165",40106,"Agriculture","Shama/Ahanta/East (Sekondi/Takoradi)",5.0811014175415,-1.62365472316742,279,297.916666666667,24
"194447",70401,"Home Economics","Akatsi",6.20688915252686,0.842700481414795,207,239.15,40
"194450",70401,"Business","Akatsi",6.20688915252686,0.842700481414795,231,262.38,100
"194455",70401,"Visual Arts","Akatsi",6.20688915252686,0.842700481414795,209,257.379310344828,29
"194457",70401,"Agriculture","Akatsi",6.20688915252686,0.842700481414795,206,253.244897959184,98
"194460",70401,"General Science","Akatsi",6.20688915252686,0.842700481414795,238,271.54,50
"194465",70401,"Technical","Akatsi",6.20688915252686,0.842700481414795,242,271.82,50
"194468",70401,"General Arts","Akatsi",6.20688915252686,0.842700481414795,245,274.45,100
"194994",21306,"General Arts","East Akim (Kibi)",6.17855787277222,-0.454344213008881,208,251.333333333333,57
"195142",20602,"General Arts","Birim South (Akim Oda)",5.86416721343994,-0.969164490699768,290,311.914285714286,140
"195143",20602,"Business","Birim South (Akim Oda)",5.86416721343994,-0.969164490699768,267,295.116788321168,137
"195162",20602,"General Science","Birim South (Akim Oda)",5.86416721343994,-0.969164490699768,285,308.675,40
"195166",20602,"Visual Arts","Birim South (Akim Oda)",5.86416721343994,-0.969164490699768,270,291.358974358974,39
"195178",20602,"Agriculture","Birim South (Akim Oda)",5.86416721343994,-0.969164490699768,266,291.955555555556,45
"195204",20602,"Home Economics","Birim South (Akim Oda)",5.86416721343994,-0.969164490699768,277,297.477272727273,44
"195589",20701,"Home Economics","Birim North ( New Abirem)",6.22278738021851,-1.02167463302612,213,238.5,4
"195593",20701,"Agriculture","Birim North ( New Abirem)",6.22278738021851,-1.02167463302612,216,243.2,10
"195599",20701,"Technical","Birim North ( New Abirem)",6.22278738021851,-1.02167463302612,217,241.8,5
"195609",70111,"Technical","Ho Municipal",6.71760702133179,0.526142239570618,227,234,2
"195610",70111,"Agriculture","Ho Municipal",6.71760702133179,0.526142239570618,223,240,2
"195615",70111,"Home Economics","Ho Municipal",6.71760702133179,0.526142239570618,230,235,3
"195617",40604,"General Arts","Sefwi Wiawso",6.25838994979858,-2.63786101341248,218,248.095238095238,21
"195623",40604,"Business","Sefwi Wiawso",6.25838994979858,-2.63786101341248,226,256,6
"195652",71002,"Technical","Hohoe",7.03059482574463,0.466238558292389,267,279.4,5
"195656",71002,"Home Economics","Hohoe",7.03059482574463,0.466238558292389,227,231.5,2
"195711",21505,"Technical","Manya Krobo (Odumase-Krobo)",6.41491651535034,-0.127511590719223,207,239.877777777778,90
"195720",21505,"Agriculture","Manya Krobo (Odumase-Krobo)",6.41491651535034,-0.127511590719223,199,239.673684210526,95
"195753",21505,"Home Economics","Manya Krobo (Odumase-Krobo)",6.41491651535034,-0.127511590719223,206,235.47619047619,42
"196117",21505,"Visual Arts","Manya Krobo (Odumase-Krobo)",6.41491651535034,-0.127511590719223,204,240.216216216216,74
"196407",51205,"General Arts","Adansi West (Obuasi)",5.98641157150269,-1.65927422046661,220,274.538461538462,26
"196422",51205,"Agriculture","Adansi West (Obuasi)",5.98641157150269,-1.65927422046661,230,260.4375,16
"196432",51205,"Visual Arts","Adansi West (Obuasi)",5.98641157150269,-1.65927422046661,221,254.692307692308,13
"196453",51205,"Home Economics","Adansi West (Obuasi)",5.98641157150269,-1.65927422046661,239,277.692307692308,13
"196526",20607,"General Arts","Birim South (Akim Oda)",5.86416721343994,-0.969164490699768,210,247.06,150
"196575",20607,"Business","Birim South (Akim Oda)",5.86416721343994,-0.969164490699768,194,251.663793103448,116
"196603",20607,"Agriculture","Birim South (Akim Oda)",5.86416721343994,-0.969164490699768,202,240.975,40
"196893",50802,"General Arts","Offinso",7.34876441955566,-1.89086854457855,207,258.563333333333,300
"196950",50802,"Home Economics","Offinso",7.34876441955566,-1.89086854457855,249,269.925,40
"196962",50802,"Business","Offinso",7.34876441955566,-1.89086854457855,250,276.0125,80
"197090",50802,"Visual Arts","Offinso",7.34876441955566,-1.89086854457855,252,271.5,30
"197344",21504,"General Arts","Manya Krobo (Odumase-Krobo)",6.41491651535034,-0.127511590719223,203,244.778523489933,149
"197346",21504,"Business","Manya Krobo (Odumase-Krobo)",6.41491651535034,-0.127511590719223,207,249.98,100
"197385",21504,"Agriculture","Manya Krobo (Odumase-Krobo)",6.41491651535034,-0.127511590719223,210,246.3,50
"197395",21504,"Home Economics","Manya Krobo (Odumase-Krobo)",6.41491651535034,-0.127511590719223,199,231.12,50
"197729",20803,"Home Economics","Asuogyaman (Senchi Ferry)",6.1892294883728,0.0883282497525215,252,277.833333333333,60
"197738",20803,"General Arts","Asuogyaman (Senchi Ferry)",6.1892294883728,0.0883282497525215,297,319.683333333333,120
"197743",20803,"Business","Asuogyaman (Senchi Ferry)",6.1892294883728,0.0883282497525215,283,311.583333333333,120
"197754",20803,"Visual Arts","Asuogyaman (Senchi Ferry)",6.1892294883728,0.0883282497525215,268,291.525,40
"197800",20803,"General Science","Asuogyaman (Senchi Ferry)",6.1892294883728,0.0883282497525215,312,336.066666666667,60
"198192",9021101,"Electrical Installation Works","Kwaebibirem (Kade)",6.13331890106201,-0.799037277698517,221,259.555555555556,27
"198194",9021101,"Block Laying & Concreting","Kwaebibirem (Kade)",6.13331890106201,-0.799037277698517,211,255.714285714286,14
"198218",9021101,"Motor Vehicle Mech.","Kwaebibirem (Kade)",6.13331890106201,-0.799037277698517,219,265.041666666667,24
"198230",9021101,"Mech. Eng. Craft Pract.","Kwaebibirem (Kade)",6.13331890106201,-0.799037277698517,210,252.631578947368,19
"198302",71008,"Agriculture","Hohoe",7.03059482574463,0.466238558292389,217,234,4
"198307",71008,"Technical","Hohoe",7.03059482574463,0.466238558292389,217,252.2,5
"198311",71008,"General Arts","Hohoe",7.03059482574463,0.466238558292389,213,227.8,5
"198313",71008,"Home Economics","Hohoe",7.03059482574463,0.466238558292389,229,229,1
"198318",50503,"General Arts","Sekyere West (Mampong)",7.19956493377686,-1.18007683753967,289,309.484,250
"198330",50503,"Agriculture","Sekyere West (Mampong)",7.19956493377686,-1.18007683753967,273,299.46,100
"198338",50503,"Home Economics","Sekyere West (Mampong)",7.19956493377686,-1.18007683753967,300,315.9,50
"198378",50503,"General Science","Sekyere West (Mampong)",7.19956493377686,-1.18007683753967,249,288.02,100
"198920",60404,"Business","Atebubu",7.67559051513672,-1.0652015209198,213,245.1875,16
"198921",60404,"General Arts","Atebubu",7.67559051513672,-1.0652015209198,204,250.931818181818,44
"198927",60404,"Agriculture","Atebubu",7.67559051513672,-1.0652015209198,230,260.846153846154,13
"198948",60404,"Home Economics","Atebubu",7.67559051513672,-1.0652015209198,224,248,8
"199004",10504,"General Arts","Ga West (Amasaman)",5.6646876335144,-0.397510528564453,277,297.9375,80
"199043",10504,"Visual Arts","Ga West (Amasaman)",5.6646876335144,-0.397510528564453,253,275.225,40
"199045",10504,"Agriculture","Ga West (Amasaman)",5.6646876335144,-0.397510528564453,247,276.8,40
"199047",10504,"Technical","Ga West (Amasaman)",5.6646876335144,-0.397510528564453,264,291.55,40
"199139",10504,"Home Economics","Ga West (Amasaman)",5.6646876335144,-0.397510528564453,259,279.975,40
"199252",40502,"Business","Wassa Amenfi (Asankragwa)",5.72551774978638,-2.3020179271698,197,249.744,250
"199254",40502,"Agriculture","Wassa Amenfi (Asankragwa)",5.72551774978638,-2.3020179271698,234,261.64,100
"199255",40502,"General Arts","Wassa Amenfi (Asankragwa)",5.72551774978638,-2.3020179271698,237,260.24,250
"199867",60702,"General Arts","Techiman",7.67761468887329,-1.94484198093414,262,281.541666666667,120
"199870",60702,"Technical","Techiman",7.67761468887329,-1.94484198093414,249,272.7,50
"199873",60702,"Business","Techiman",7.67761468887329,-1.94484198093414,222,255.383333333333,120
"199888",60702,"Home Economics","Techiman",7.67761468887329,-1.94484198093414,236,259.96,50
"199918",60702,"Visual Arts","Techiman",7.67761468887329,-1.94484198093414,202,251.875,40
"199932",60702,"Agriculture","Techiman",7.67761468887329,-1.94484198093414,256,271,50
"199974",60702,"General Science","Techiman",7.67761468887329,-1.94484198093414,240,273.74,50
"200398",70604,"Agriculture","Kpando",6.89685153961182,0.267385125160217,210,242.392857142857,28
"200400",70604,"Business","Kpando",6.89685153961182,0.267385125160217,240,275.625,40
"200429",70604,"General Arts","Kpando",6.89685153961182,0.267385125160217,246,277.65,80
"200491",70604,"Home Economics","Kpando",6.89685153961182,0.267385125160217,202,241.5625,32
"200548",70604,"General Science","Kpando",6.89685153961182,0.267385125160217,221,256.884615384615,26
"200671",70604,"Visual Arts","Kpando",6.89685153961182,0.267385125160217,206,248.9,20
"200687",50107,"General Arts","Kumasi Metro",6.68205976486206,-1.59718716144562,375,386.177777777778,135
"200688",50107,"General Science","Kumasi Metro",6.68205976486206,-1.59718716144562,379,391.708955223881,134
"200693",50107,"Visual Arts","Kumasi Metro",6.68205976486206,-1.59718716144562,366,377.7,70
